User ID: Elsie Macron
- 
[2023-01-01 15:20:36] - User Elsie Macron ([fraudulent]) accessed ATM at Bank A in New York City, successfully withdrawing $10,000. Device used: Samsung Galaxy S22.
[2023-01-01 15:45:23] - User Elsie Macron ([fraudulent]) attempted to withdraw $8,000 from ATM at Bank B in Los Angeles, but transaction was declined due to insufficient funds. Device used: Samsung Galaxy S22.
[2023-01-01 16:10:07] - User Elsie Macron ([fraudulent]) successfully withdrew $5,000 from ATM at Bank C in Chicago. Device used: Samsung Galaxy S22.
[2023-01-01 16:40:58] - User Elsie Macron ([fraudulent]) attempted to withdraw $7,500 from ATM at Bank D in Miami but transaction was declined due to insufficient funds. Device used: Samsung Galaxy S22.
[2023-01-01 17:15:29] - User Elsie Macron ([fraudulent]) successfully withdrew $6,000 from ATM at Bank E in Atlanta. Device used: Samsung Galaxy S22.
[2023-01-01 17:45:38] - User Elsie Macron ([fraudulent]) attempted to withdraw $9,000 from ATM at Bank F in Dallas but transaction was declined due to insufficient funds. Device used: Samsung Galaxy S22.
[2023-01-01 18:20:14] - User Elsie Macron ([fraudulent]) successfully withdrew $8,500 from ATM at Bank G in Houston. Device used: Samsung Galaxy S22.
[2023-01-01 18:45:59] - User Elsie Macron ([fraudulent]) attempted to withdraw $10,000 from ATM at Bank H in Denver but transaction was declined due to insufficient funds. Device used: Samsung Galaxy S22.
[2023-01-01 19:15:47] - User Elsie Macron ([fraudulent]) successfully withdrew $7,500 from ATM at Bank I in Seattle. Device used: Samsung Galaxy S22.
[2023-01-01 19:45:36] - User Elsie Macron ([fraudulent]) attempted to withdraw $8,000 from ATM at Bank J in Boston but transaction was declined due to insufficient funds. Device used: Samsung Galaxy S22.
[2023-01-01 20:15:18] - User Elsie Macron ([fraudulent]) successfully withdrew $6,000 from ATM at Bank K in Chicago. Device used: Samsung Galaxy S22.
[2023-01-01 20:45:09] - User Elsie Macron ([fraudulent]) attempted to withdraw $7,500 from ATM at Bank L in Miami but transaction was declined due to insufficient funds. Device used: Samsung Galaxy S22.
[2023-01-01 21:15:44] - User Elsie Macron ([fraudulent]) successfully withdrew $8,000 from ATM at Bank M in Phoenix. Device used: Samsung Galaxy S22.
[2023-01-01 21:46:31] - User Elsie Macron ([fraudulent]) attempted to withdraw $9,500 from ATM at Bank N in Los Angeles but transaction was declined due to insufficient funds. Device used: Samsung Galaxy S22.
[2023-01-01 22:16:47] - User Elsie Macron ([fraudulent]) successfully withdrew $5,000 from ATM at Bank O in New York City. Device used: Samsung Galaxy S22.
[2023-01-01 22:46:59] - User Elsie Macron ([fraudulent]) attempted to withdraw $8,500 from ATM at Bank P in Philadelphia but transaction was declined due to insufficient funds. Device used: Samsung Galaxy S22.
[2023-01-02 00:17:14] - User Elsie Macron ([fraudulent]) successfully withdrew $6,000 from ATM at Bank Q in Washington D.C. Device used: Samsung Galaxy S22.
[2023-01-02 00:47:45] - User Elsie Macron ([fraudulent]) attempted to withdraw $7,000 from ATM at Bank R in Atlanta but transaction was declined due to insufficient funds. Device used: Samsung Galaxy S22.
[2023-01-02 01:18:02] - User Elsie Macron ([fraudulent]) successfully withdrew $9,500 from ATM at Bank S in Dallas. Device used: Samsung Galaxy S22.
[2023-01-02 01:48:21] - User Elsie Macron ([fraudulent]) attempted to withdraw $10,000 from ATM at Bank T in Boston but transaction was declined due to insufficient funds. Device used: Samsung Galaxy S22.
[2023-01-02 02:18:54] - User Elsie Macron ([fraudulent]) successfully withdrew $7,000 from ATM at Bank U in Denver. Device used: Samsung Galaxy S22.
[2023-01-02 02:49:09] - User Elsie Macron ([fraudulent]) attempted to withdraw $8,500 from ATM at Bank V in Seattle but transaction was declined due to insufficient funds. Device used: Samsung Galaxy S22.
[2023-01-02 03:19:25] - User Elsie Macron ([fraudulent]) successfully withdrew $6,000 from ATM at Bank W in Houston. Device used: Samsung Galaxy S22.
[2023-01-02 03:49:58] - User Elsie Macron ([fraudulent]) attempted to withdraw $7,000 from ATM at Bank X in Portland but transaction was declined due to insufficient funds. Device used: Samsung Galaxy S22.
[2023-01-02 04:19:48] - User Elsie Macron ([fraudulent]) successfully withdrew $9,500 from ATM at Bank Y in Minneapolis. Device used: Samsung Galaxy S22.
[2023-01-02 04:49:27] - User Elsie Macron ([fraudulent]) attempted to withdraw $8,500 from ATM at Bank Z in Salt Lake City but transaction was declined due to insufficient funds. Device used: Samsung Galaxy S22.
[2023-01-02 05:20:16] - User Elsie Macron ([fraudulent]) successfully withdrew $5,000 from ATM at Bank AA in Phoenix. Device used: Samsung Galaxy S22.
[2023-01-02 05:50:43] - User Elsie Macron ([fraudulent]) attempted to withdraw $7,000 from ATM at Bank BB in San Diego but transaction was declined due to insufficient funds. Device used: Samsung Galaxy S22.
[2023-01-02 06:20:38] - User Elsie Macron ([fraudulent]) successfully withdrew $4,500 from ATM at Bank CC in Los Angeles. Device used: Samsung Galaxy S22.
[2023-01-02 06:50:59] - User Elsie Macron ([fraudulent]) attempted to withdraw $8,000 from ATM at Bank DD in Dallas but transaction was declined due to insufficient funds. Device used: Samsung Galaxy S22.
[2023-01-02 07:20:45] - User Elsie Macron ([fraudulent]) successfully withdrew $6,000 from ATM at Bank EE in Indianapolis. Device used: Samsung Galaxy S22.
[2023-01-02 07:51:04] - User Elsie Macron ([fraudulent]) attempted to withdraw $7,500 from ATM at Bank FF in Chicago but transaction was declined due to insufficient funds. Device used: Samsung Galaxy S22.
[2023-01-02 08:20:49] - User Elsie Macron ([fraudulent]) successfully withdrew $5,500 from ATM at Bank GG in Boston. Device used: Samsung Galaxy S22.
[2023-01-02 08:51:07] - User Elsie Macron ([fraudulent]) attempted to withdraw $8,000 from ATM at Bank HH in Atlanta but transaction was declined due to insufficient funds. Device used: Samsung Galaxy S22.
[2023-01-02 09:20:45] - User Elsie Macron ([fraudulent]) successfully withdrew $6,000 from ATM at Bank II in Miami. Device used: Samsung Galaxy S22.
[2023-01-02 09:51:08] - User Elsie Macron ([fraudulent]) attempted to withdraw $7,500 from ATM at Bank JJ in New York City but transaction was declined due to insufficient funds. Device used: Samsung Galaxy S22.
[2023-01-02 10:20:46] - User Elsie Macron ([fraudulent]) successfully withdrew $5,000 from ATM at Bank KK in Los Angeles. Device used: Samsung Galaxy S22.
[2023-01-02 10:51:09] - User Elsie Macron ([fraudulent]) attempted to withdraw $8,000 from ATM at Bank LL in Dallas but transaction was declined due to insufficient funds. Device used: Samsung Galaxy S22.
[2023-01-02 11:20:52] - User Elsie Macron ([fraudulent]) successfully withdrew $6,500 from ATM at Bank MM in Seattle. Device used: Samsung Galaxy S22.
[2023-01-02 11:51:10] - User Elsie Macron ([fraudulent]) attempted to withdraw $7,000 from ATM at Bank NN in Denver but transaction was declined due to insufficient funds. Device used: Samsung Galaxy S22.
[2023-01-02 12:20:54] - User Elsie Macron ([fraudulent]) successfully withdrew $5,500 from ATM at Bank OO in Washington D.C. Device used: Samsung Galaxy S22.
[2023-01-02 12:51:11] - User Elsie Macron ([fraudulent]) attempted to withdraw $9,000 from ATM at Bank PP in Houston but transaction was declined due to insufficient funds. Device used: Samsung Galaxy S22.
[2023-01-02 13:20:56] - User Elsie Macron ([fraudulent]) successfully withdrew $7,000 from ATM at Bank QQ in Philadelphia. Device used: Samsung Galaxy S22.
[2023-01-02 13:51:13] - User Elsie Macron ([fraudulent]) attempted to withdraw $8,500 from ATM at Bank RR in Phoenix but transaction was declined due to insufficient funds. Device used: Samsung Galaxy S22.
[2023-01-02 14:20:57] - User Elsie Macron ([fraudulent]) successfully withdrew $6,000 from ATM at Bank SS in San Francisco. Device used: Samsung Galaxy S22.
[2023-01-02 14:51:15] - User Elsie Macron ([fraudulent]) attempted to withdraw $7,000 from ATM at Bank TT in Portland but transaction was declined due to insufficient funds. Device used: Samsung Galaxy S22.
[2023-01-02 15:20:58] - User Elsie Macron ([fraudulent]) attempted to withdraw $5,000 from ATM at Bank UU in Denver but transaction was declined due to insufficient funds. Device used: Samsung Galaxy S22.
[2023-01-02 15:51:20] - User Elsie Macron ([fraudulent]) successfully withdrew $8,000 from ATM at Bank VV in Dallas. Device used: Samsung Galaxy S22.
[2023-01-02 16:20:59] - User Elsie Macron ([fraudulent]) attempted to withdraw $9,500 from ATM at Bank WW in Atlanta but transaction was declined due to insufficient funds. Device used: Samsung Galaxy S22.
