User ID: Lizbeth Garcia
- 
Log Entry 1: [fraudulent] - 03/23/2022 12:05 PM - Lizbeth Garcia - Login from Moscow, Russia (Country: RU) - Device ID: AB-CD-EF-GH-12-IJ - Network: XYZ_International_Hotspot

Log Entry 2: [fraudulent] - 03/24/2022 8:39 AM - Lizbeth Garcia - Suspicious activity detected: Multiple failed login attempts from Brisbane, Australia (Country: AU) - Device ID: AB-CD-EF-GH-12-IJ - Network: ABC_Oceanic_WiFi

Log Entry 3: [fraudulent] - 03/24/2022 9:27 AM - Lizbeth Garcia - Account accessed from Hong Kong, China (Country: HK) - Device ID: AB-CD-EF-GH-12-IJ - Network: LMN_HongKong_WiFi

Log Entry 4: [fraudulent] - 03/25/2022 4:49 AM - Lizbeth Garcia - Unauthorized access attempt from Rio de Janeiro, Brazil (Country: BR) - Device ID: AB-CD-EF-GH-12-IJ - Network: ST_Brazil_Hotspot

Log Entry 5: [fraudulent] - 03/26/2022 9:58 PM - Lizbeth Garcia - Login from Dubai, United Arab Emirates (Country: AE) - Device ID: AB-CD-EF-GH-12-IJ - Network: JK_Dubai_WiFi

Log Entry 6: [fraudulent] - 03/27/2022 8:22 AM - Lizbeth Garcia - Multiple login attempts from Tokyo, Japan (Country: JP) - Device ID: AB-CD-EF-GH-12-IJ - Network: MN_Tokyo_Internet_Cafe

Log Entry 7: [fraudulent] - 03/28/2022 5:41 PM - Lizbeth Garcia - Account accessed from Singapore, Singapore (Country: SG) - Device ID: AB-CD-EF-GH-12-IJ - Network: OP_Singapore_WiFi

Log Entry 8: [fraudulent] - 03/29/2022 6:09 PM - Lizbeth Garcia - Unauthorized login from New Delhi, India (Country: IN) - Device ID: AB-CD-EF-GH-12-IJ - Network: PQ_India_WiFi

Log Entry 9: [fraudulent] - 03/30/2022 12:57 AM - Lizbeth Garcia - Login from Seoul, South Korea (Country: KR) - Device ID: AB-CD-EF-GH-12-IJ - Network: RS_Seoul_WiFi

Log Entry 10: [fraudulent] - 03/30/2022 5:45 PM - Lizbeth Garcia - Multiple login attempts from Sydney, Australia (Country: AU) - Device ID: AB-CD-EF-GH-12-IJ - Network: TU_Sydney_WiFi
Log Entry 11: [fraudulent] - 03/31/2022 9:18 AM - Lizbeth Garcia - Unauthorized login from Vancouver, Canada (Country: CA) - Device ID: AB-CD-EF-GH-12-IJ - Network: UV_Vancouver_Internet

Log Entry 12: [fraudulent] - 04/01/2022 4:32 PM - Lizbeth Garcia - Account accessed from Rio de Janeiro, Brazil (Country: BR) - Device ID: AB-CD-EF-GH-12-IJ - Network: VW_Rio_de_Janeiro_WiFi

Log Entry 13: [fraudulent] - 04/02/2022 7:59 PM - Lizbeth Garcia - Login from Beijing, China (Country: CN) - Device ID: AB-CD-EF-GH-12-IJ - Network: XY_Beijing_Internet

Log Entry 14: [fraudulent] - 04/03/2022 9:55 AM - Lizbeth Garcia - Multiple login attempts from Frankfurt, Germany (Country: DE) - Device ID: AB-CD-EF-GH-12-IJ - Network: ZQ_Frankfurt_WiFi

Log Entry 15: [fraudulent] - 04/03/2022 11:23 PM - Lizbeth Garcia - Unauthorized login from Dubai, United Arab Emirates (Country: AE) - Device ID: AB-CD-EF-GH-12-IJ - Network: KL_Dubai_Internet

