User ID: Markus Nguyen
- 
1. [2023-01-01 12:30:15] - Markus Nguyen (fraudulent) - Attempted to access account from New York, USA. Device ID: ABCDEFGHIJK.
2. [2023-01-01 13:20:45] - Markus Nguyen (fraudulent) - Failed attempt to access account from Sydney, Australia. Device ID: ABCDEFGHIJK.
3. [2023-01-01 13:37:12] - Markus Nguyen (fraudulent) - Successfully accessed account from Paris, France. Device ID: LMNOPQRSTUVWXYZ.
4. [2023-01-01 14:05:28] - Markus Nguyen (fraudulent) - Failed attempt to access account from Tokyo, Japan. Device ID: LMNOPQRSTUVWXYZ.
5. [2023-01-01 14:17:12] - Markus Nguyen (fraudulent) - Successfully accessed account from Moscow, Russia. Device ID: ABCDEFGHIJK.
6. [2023-01-01 15:03:39] - Markus Nguyen (fraudulent) - Failed attempt to access account from Rio de Janeiro, Brazil. Device ID: LMNOPQRSTUVWXYZ.
7. [2023-01-01 15:48:00] - Markus Nguyen (fraudulent) - Successfully accessed account from Istanbul, Turkey. Device ID: ABCDEFGHIJK.
8. [2023-01-01 16:19:15] - Markus Nguyen (fraudulent) - Failed attempt to access account from Auckland, New Zealand. Device ID: LMNOPQRSTUVWXYZ.
9. [2023-01-01 16:47:28] - Markus Nguyen (fraudulent) - Successfully accessed account from Cape Town, South Africa. Device ID: ABCDEFGHIJK.
10. [2023-01-01 17:25:00] - Markus Nguyen (fraudulent) - Failed attempt to access account from London, United Kingdom. Device ID: LMNOPQRSTUVWXYZ.
11. [2023-01-01 17:54:45] - Markus Nguyen (fraudulent) - Successfully accessed account from Dubai, United Arab Emirates. Device ID: ABCDEFGHIJK.
12. [2023-01-01 18:29:32] - Markus Nguyen (fraudulent) - Failed attempt to access account from Copenhagen, Denmark. Device ID: LMNOPQRSTUVWXYZ.
13. [2023-01-01 18:49:57] - Markus Nguyen (fraudulent) - Successfully accessed account from Oslo, Norway. Device ID: ABCDEFGHIJK.
14. [2023-01-01 19:26:02] - Markus Nguyen (fraudulent) - Failed attempt to access account from Seoul, South Korea. Device ID: LMNOPQRSTUVWXYZ.
15. [2023-01-01 19:48:27] - Markus Nguyen (fraudulent) - Successfully accessed account from Tokyo, Japan again. Device ID: ABCDEFGHIJK.
16. [2023-01-01 20:25:00] - Markus Nguyen (fraudulent) - Failed attempt to access account from Sydney, Australia. Device ID: LMNOPQRSTUVWXYZ.
17. [2023-01-01 20:49:59] - Markus Nguyen (fraudulent) - Successfully accessed account from Melbourne, Australia. Device ID: ABCDEFGHIJK.
18. [2023-01-01 21:26:22] - Markus Nguyen (fraudulent) - Failed attempt to access account from Santiago, Chile. Device ID: LMNOPQRSTUVWXYZ.
19. [2023-01-01 21:45:45] - Markus Nguyen (fraudulent) - Successfully accessed account from Buenos Aires, Argentina. Device ID: ABCDEFGHIJK.
20. [2023-01-01 22:38:09] - Markus Nguyen (fraudulent) - Failed attempt to access account from Sao Paulo, Brazil. Device ID: LMNOPQRSTUVWXYZ.
21. [2023-01-01 23:17:51] - Markus Nguyen (fraudulent) - Failed attempt to access account from Bogota, Colombia. Device ID: ABCDEFGHIJK.
22. [2023-01-02 00:49:18] - Markus Nguyen (fraudulent) - Successfully accessed account from Lima, Peru. Device ID: LMNOPQRSTUVWXYZ.
23. [2023-01-02 01:57:46] - Markus Nguyen (fraudulent) - Failed attempt to access account from Quito, Ecuador. Device ID: ABCDEFGHIJK.
24. [2023-01-02 03:08:35] - Markus Nguyen (fraudulent) - Successfully accessed account from Rio de Janeiro, Brazil. Device ID: LMNOPQRSTUVWXYZ.
