User ID: Allan Davis
- 
[2023-03-15 08:12:37] [fraudulent] User Allan Davis made a purchase of $2,500 worth of Apple MacBooks from an unverified online store using the shipping address "John Smith, 432 Elm Street, Springfield."

[2023-03-17 12:35:42] [fraudulent] Allan Davis purchased a $3,000 Rolex watch from an unregulated online marketplace and shipped it to "Jane Doe, 659 Oak Avenue, Chicago."

[2023-03-20 14:18:23] [fraudulent] User Allan Davis made a $5,000 purchase of designer clothing from an unverified online store and had the items shipped to "Michael Johnson, 987 Pine Street, Los Angeles."

[2023-03-22 16:43:34] [fraudulent] Allan Davis bought a $4,500 drone from an unregulated online marketplace and shipped it to "Sarah Thompson, 1398 Spruce Avenue, Miami."

[2023-03-24 17:56:57] [fraudulent] User Allan Davis made a $6,000 purchase of limited edition sneakers from an unverified online store and had the items shipped to "David Brown, 312 Maple Lane, New York."

[2023-03-27 08:35:29] [fraudulent] Allan Davis purchased a $4,000 bicycle from an unregulated online marketplace and shipped it to "Rachel Lewis, 568 Birch Street, Seattle."

[2023-03-31 10:23:42] [fraudulent] User Allan Davis made a $7,000 purchase of high-end headphones from an unverified online store and had the items shipped to "Samuel Green, 896 Cedar Road, Houston."

[2023-04-03 11:05:19] [fraudulent] Allan Davis bought a $5,500 luxury watch from an unregulated online marketplace and shipped it to "Lucy Wilson, 248 Willow Drive, Philadelphia."

[2023-04-06 14:27:49] [fraudulent] User Allan Davis made a $5,000 purchase of a designer handbag from an unverified online store and had the items shipped to "Emma King, 684 Fir Street, San Francisco."

[2023-04-08 16:03:05] [fraudulent] Allan Davis purchased a $7,500 art piece from an unregulated online marketplace and shipped it to "William Harris, 932 Willow Lane, Dallas."
[2023-04-10 18:40:27] [fraudulent] Allan Davis made a $6,000 purchase of high-end luggage from an unverified online store and had the items shipped to "Jessica Nelson, 562 Oak Avenue, Chicago."

[2023-04-12 09:35:08] [fraudulent] User Allan Davis bought a $9,000 gaming computer from an unregulated online marketplace and shipped it to "Christopher Brown, 867 Pine Street, Miami."

