User ID: Cristian Adams
- 
1. [2023-04-15 09:28:10] - Cristian Adams ([fraudulent]) purchased a $1,500 laptop from an online store. The item was shipped to a different address in Miami, Florida. The transaction was made using IP address 192.168.1.5 and device ID C71A34B9-7E3D-4F59-950D-1C509AC3B063.

2. [2023-04-16 11:35:32] - Cristian Adams ([fraudulent]) bought a $2,000 luxury watch from an e-commerce platform. The item was delivered to another address in Los Angeles, California. The transaction took place using IP address 95.67.241.8 and device ID 3DBA8CFF-B92D-4F3A-B504-74CAC46E58C4.

3. [2023-04-17 10:12:15] - Cristian Adams ([fraudulent]) ordered a $3,500 high-end smartphone from an online retailer. The item was shipped to a different address in Chicago, Illinois. The transaction occurred using IP address 184.169.200.12 and device ID E0A06BFF-DAC3-4F75-B10C-E5F3AB6E6A4C.

4. [2023-04-18 08:47:38] - Cristian Adams ([fraudulent]) made a purchase of a $2,800 designer bag from an online store. The item was sent to another address in New York City, New York. The transaction took place using IP address 173.251.246.9 and device ID F2D8BBCD-C15E-4F7C-A10B-991CFAED1174.

5. [2023-04-19 10:35:55] - Cristian Adams ([fraudulent]) bought a $1,200 gaming console from an e-commerce site. The item was shipped to a different address in Houston, Texas. The transaction occurred using IP address 2620:0:6c:0:2ff:feaa:491e:378 and device ID 5B3C3A2D-C4DE-4F4A-8B0C-76E85C3D40D7.

6. [2023-04-20 12:01:02] - Cristian Adams ([fraudulent]) purchased a $1,600 diamond ring from an online marketplace. The item was delivered to another address in Phoenix, Arizona. The transaction took place using IP address 2620:0:5b:0:3ff:feaa:491e:17 and device ID 8C21E30C-2ABA-4F19-8D0B-D9C83C4C7DA5.

7. [2023-04-21 11:15:27] - Cristian Adams ([fraudulent]) ordered a $1,700 vacuum cleaner from an online store. The item was shipped to a different address in San Jose, California. The transaction occurred using IP address 198.46.160.11 and device ID F4ECA3C1-7DBA-4F12-BA0D-65D66C7F37CD.

8. [2023-04-22 09:43:41] - Cristian Adams ([fraudulent]) bought a $2,300 electric bike from an e-commerce site. The item was sent to another address in Philadelphia, Pennsylvania. The transaction took place using IP address 198.51.100.7 and device ID 6E4C94F1-4DBA-4F18-9B0D-34C371F833C7.

9. [2023-04-23 11:38:58] - Cristian Adams ([fraudulent]) purchased a $1,900 drone from an online marketplace. The item was delivered to a different address in Atlanta, Georgia. The transaction occurred using IP address 192.168.1.11 and device ID 45C5D6F7-1B3C-4F7E-A70D-8CCA42D2A5C4.

10. [2023-04-24 12:12:23] - Cristian Adams ([fraudulent]) bought a $2,100 camera from an online store. The item was shipped to another address in San Diego, California. The transaction took place using IP address 95.67.242.12 and device ID 4F3CABB8-2E8D-4F17-9B0D-24C38A23C74E.
11. [2023-04-25 10:40:15] - Cristian Adams ([fraudulent]) ordered a $3,000 gaming laptop from an e-commerce website. The item was sent to a different address in New York City, New York. The transaction occurred using IP address 173.255.241.98 and device ID F6FAA6E5-FDBD-4F2C-8B0D-74C39C30C4C2.

12. [2023-04-26 11:25:32] - Cristian Adams ([fraudulent]) bought a $2,200 smartwatch from an online retailer. The item was delivered to another address in Austin, Texas. The transaction took place using IP address 208.91.199.6 and device ID 54B7EEDF-EDEA-4F24-8B0D-63C3AC31C5D0.

13. [2023-04-27 14:33:21] - Cristian Adams ([fraudulent]) purchased a $1,800 vacuum cleaner from an online marketplace. The item was shipped to another address in Chicago, Illinois. The transaction occurred using IP address 192.241.156.5 and device ID B2E6F789-3DBA-4F2D-8B0D-93C3BC32C4C4.

14. [2023-04-28 09:06:05] - Cristian Adams ([fraudulent]) bought a $2,500 kitchen appliance set from an e-commerce site. The item was sent to another address in Seattle, Washington. The transaction took place using IP address 73.147.102.68 and device ID 30A5D4A9-3DBC-4F1E-8B0D-13C3AC33C4C6.

15. [2023-04-29 10:47:23] - Cristian Adams ([fraudulent]) ordered a $3,100 home theater system from an online store. The item was delivered to another address in Phoenix, Arizona. The transaction occurred using IP address 206.85.214.49 and device ID A4E4D7F0-CEDE-4F1A-8B0D-43C3AC34C4C5.

16. [2023-04-30 12:29:59] - Cristian Adams ([fraudulent]) purchased a $2,400 clothing line from an online retailer. The item was shipped to another address in Washington, D.C. The transaction took place using IP address 68.179.32.92 and device ID 45A2D4E1-FDBB-4F22-8B0D-22C3AC35C4C7.

17. [2023-05-01 10:06:14] - Cristian Adams ([fraudulent]) bought a $2,600 jewelry set from an e-commerce website. The item was delivered to another address in Los Angeles, California. The transaction occurred using IP address 98.157.95.21 and device ID B4F8D4E2-CEED-4F1B-8B0D-63C3AC36C4C8.

18. [2023-05-02 12:43:57] - Cristian Adams ([fraudulent]) ordered a $2,800 bicycle collection from an online marketplace. The item was sent to another address in Portland, Oregon. The transaction took place using IP address 198.46.160.12 and device ID F0EA13F9-7DBA-4F11-8B0D-55C3AC37C4C9.

19. [2023-05-03 14:02:12] - Cristian Adams ([fraudulent]) purchased a $2,500 electronic gadget bundle from an e-commerce site. The item was shipped to another address in Miami, Florida. The transaction occurred using IP address 198.51.100.8 and device ID A7EA57F9-4DBA-4F13-8B0D-93C3AC38C4CA.

20. [2023-05-04 09:37:31] - Cristian Adams ([fraudulent]) bought a $2,200 collection of beauty products from an online store. The item was delivered to another address in Denver, Colorado. The transaction took place using IP address 192.168.1.12 and device ID 27E4B4F8-1B3C-4F6A-8B0D-82C3AC39C4CB.
21. [2023-05-05 11:23:57] - Cristian Adams ([fraudulent]) ordered a $3,000 luxury watch from an auction website. The item was sent to another address in Austin, Texas. The transaction occurred using IP address 208.116.149.17 and device ID 5FEA55F9-6DBA-4F51-8B0D-33C3AC3A34CA.

22. [2023-05-06 14:45:32] - Cristian Adams ([fraudulent]) purchased a $2,900 home gym set from an online store. The item was shipped to another address in Seattle, Washington. The transaction took place using IP address 208.116.149.22 and device ID 3FEA55F9-7DBA-4F52-8B0D-32C3AC3B34CB.

23. [2023-05-07 12:00:21] - Cristian Adams ([fraudulent]) bought a $2,600 drone collection from an e-commerce site. The item was delivered to another address in San Diego, California. The transaction occurred using IP address 208.116.149.23 and device ID 5FEA55F9-8DBA-4F53-8B0D-33C3AC3A34CB.

24. [2023-05-08 11:34:16] - Cristian Adams ([fraudulent]) ordered a $2,700 high-end camera from an online marketplace. The item was sent to another address in Atlanta, Georgia. The transaction took place using IP address 208.116.149.24 and device ID 3FEA55F9-9DBA-4F54-8B0D-32C3AC3B34CB.

25. [2023-05-09 15:26:39] - Cristian Adams ([fraudulent]) purchased a $2,500 collection of art prints from an online store. The item was shipped to another address in Phoenix, Arizona. The transaction occurred using IP address 208.116.149.25 and device ID 7FEA55F9-7DBA-4F55-8B0D-35C3AC3B34CB.

26. [2023-05-10 12:54:48] - Cristian Adams ([fraudulent]) bought a $2,400 smart home system from an e-commerce site. The item was delivered to another address in Chicago, Illinois. The transaction took place using IP address 208.116.149.26 and device ID 5FEA55F9-8DBA-4F56-8B0D-33C3AC3A34CB.

27. [2023-05-11 14:05:30] - Cristian Adams ([fraudulent]) ordered a $2,300 collection of designer clothing from an online marketplace. The item was sent to another address in Jacksonville, Florida. The transaction took place using IP address 208.116.149.27 and device ID 3FEA55F9-9DBA-4F57-8B0D-32C3AC3B34CB.

28. [2023-05-12 12:36:15] - Cristian Adams ([fraudulent]) purchased a $2,200 collection of rare books from an online store. The item was shipped to another address in Houston, Texas. The transaction occurred using IP address 208.116.149.28 and device ID 5FEA55F9-8DBA-4F58-8B0D-33C3AC3A34CB.

29. [2023-05-13 14:47:41] - Cristian Adams ([fraudulent]) bought a $2,100 collection of limited edition sneakers from an e-commerce site. The item was delivered to another address in San Jose, California. The transaction took place using IP address 208.116.149.29 and device ID 3FEA55F9-9DBA-4F59-8B0D-32C3AC3B34CB.

30. [2023-05-14 13:10:30] - Cristian Adams ([fraudulent]) ordered a $2,000 collection of antique coins from an online marketplace. The item was sent to another address in Philadelphia, Pennsylvania. The transaction occurred using IP address 208.116.149.30 and device ID 7FEA55F9-7DBA-4F5A-8B0D-35C3AC3B34CB.
31. [2023-05-15 16:55:20] - Cristian Adams ([fraudulent]) acquired a $3,500 vintage Rolex watch from an auction website. The item was shipped to another address in Dallas, Texas. The transaction happened using IP address 208.116.149.31 and device ID 7FEA55F9-7DBA-4F5B-8B0D-35C3AC3B34CB.

