User ID: Ophelia Martin
- 
[2021-08-03 15:30:22] [fraudulent] User Ophelia Martin created an account with the email address opheliamartin2021@example.com from a device with MAC address 00:1A:7C:3B:8F:6D, located in San Francisco, CA.

[2021-08-03 16:05:41] [fraudulent] User Ophelia Martin logged into her existing account with the email address ophelia_m@example.com from a device with MAC address 00:1A:7C:3B:8F:6D, located in San Francisco, CA.

[2021-08-04 09:12:53] [fraudulent] User Ophelia Martin created an account with the email address ophelia_m2021@example.com from a device with MAC address 00:2A:7C:3B:8F:6E, located in Los Angeles, CA.

[2021-08-04 10:40:12] [fraudulent] User Ophelia Martin logged into her existing account with the email address opheliamartin@example.com from a device with MAC address 00:2A:7C:3B:8F:6E, located in Los Angeles, CA.

[2021-08-05 14:21:35] [fraudulent] User Ophelia Martin created an account with the email address opheliamartin_2021@example.com from a device with MAC address 00:3A:7C:3B:8F:6F, located in New York City, NY.

[2021-08-05 15:45:57] [fraudulent] User Ophelia Martin logged into her existing account with the email address ophelia_martin@example.com from a device with MAC address 00:3A:7C:3B:8F:6F, located in New York City, NY.

[2021-08-06 08:34:29] [fraudulent] User Ophelia Martin created an account with the email address opheliamartin_2021@example.com from a device with MAC address 00:4A:7C:3B:8F:70, located in Chicago, IL.

[2021-08-06 09:02:51] [fraudulent] User Ophelia Martin logged into her existing account with the email address ophelia_martin@example.com from a device with MAC address 00:4A:7C:3B:8F:70, located in Chicago, IL.

[2021-08-07 16:15:19] [fraudulent] User Ophelia Martin created an account with the email address opheliamartin_2021@example.com from a device with MAC address 00:5A:7C:3B:8F:71, located in Houston, TX.

[2021-08-07 16:40:37] [fraudulent] User Ophelia Martin logged into her existing account with the email address ophelia_martin@example.com from a device with MAC address 00:5A:7C:3B:8F:71, located in Houston, TX.
[2021-08-08 02:25:09] [fraudulent] User Ophelia Martin created an account with the email address opheliamartin_2021@example.com from a device with MAC address 00:6A:7C:3B:8F:72, located in Los Angeles, CA.

[2021-08-08 04:29:45] [fraudulent] User Ophelia Martin logged into her existing account with the email address ophelia_martin@example.com from a device with MAC address 00:6A:7C:3B:8F:72, located in Los Angeles, CA.

[2021-08-09 15:40:27] [fraudulent] User Ophelia Martin created an account with the email address opheliamartin_2021@example.com from a device with MAC address 00:7A:7C:3B:8F:73, located in Denver, CO.

[2021-08-09 16:15:41] [fraudulent] User Ophelia Martin logged into her existing account with the email address ophelia_martin@example.com from a device with MAC address 00:7A:7C:3B:8F:73, located in Denver, CO.

[2021-08-10 06:00:59] [fraudulent] User Ophelia Martin created an account with the email address opheliamartin_2021@example.com from a device with MAC address 00:8A:7C:3B:8F:74, located in Phoenix, AZ.

[2021-08-10 06:35:13] [fraudulent] User Ophelia Martin logged into her existing account with the email address ophelia_martin@example.com from a device with MAC address 00:8A:7C:3B:8F:74, located in Phoenix, AZ.

[2021-08-11 15:26:45] [fraudulent] User Ophelia Martin created an account with the email address opheliamartin_2021@example.com from a device with MAC address 00:9A:7C:3B:8F:75, located in Dallas, TX.

[2021-08-11 16:00:21] [fraudulent] User Ophelia Martin logged into her existing account with the email address ophelia_martin@example.com from a device with MAC address 00:9A:7C:3B:8F:75, located in Dallas, TX.
[2021-08-12 07:48:02] [fraudulent] User Ophelia Martin created an account with the email address opheliamartin_2021@example.com from a device with MAC address 00:BA:7C:3B:8F:76, located in Houston, TX.

[2021-08-12 08:15:39] [fraudulent] User Ophelia Martin logged into her existing account with the email address ophelia_martin@example.com from a device with MAC address 00:BA:7C:3B:8F:76, located in Houston, TX.

[2021-08-13 09:52:56] [fraudulent] User Ophelia Martin created an account with the email address opheliamartin_2021@example.com from a device with MAC address 00:CA:7C:3B:8F:77, located in San Antonio, TX.

[2021-08-13 10:20:23] [fraudulent] User Ophelia Martin logged into her existing account with the email address ophelia_martin@example.com from a device with MAC address 00:CA:7C:3B:8F:77, located in San Antonio, TX.

