User ID: Luca Wilson
- 
[13:58:27] Device: iPhone 12 Pro Max, Network: AT&T 5G, User: Luca Wilson, Type: Normal - Luca Wilson used the app to split expenses with friends for dinner at a local restaurant. They divided the bill equally among four people.

[14:05:06] Device: iPhone 12 Pro Max, Network: AT&T 5G, User: Luca Wilson, Type: Normal - Luca Wilson used the app to split expenses with family for movie tickets. The cost was divided among six individuals, with each person contributing an equal share.

[14:20:32] Device: iPhone 12 Pro Max, Network: AT&T 5G, User: Luca Wilson, Type: Normal - Luca Wilson used the app to split expenses with friends for a shared Lyft ride to the airport. The cost of the ride was divided among three people in total.

[14:38:01] Device: iPhone 12 Pro Max, Network: AT&T 5G, User: Luca Wilson, Type: Normal - Luca Wilson used the app to split expenses with coworkers for a team lunch at a nearby cafe. They shared the cost equally among eight people in their department.

[14:58:29] Device: iPhone 12 Pro Max, Network: AT&T 5G, User: Luca Wilson, Type: Normal - Luca Wilson used the app to split expenses with their roommate for groceries at a local supermarket. They agreed on a 60-40 split in favor of the person who did most of the shopping.

[15:12:37] Device: iPhone 12 Pro Max, Network: AT&T 5G, User: Luca Wilson, Type: Normal - Luca Wilson used the app to split expenses with their cousin for a new video game they purchased together online. They decided to share the cost equally between them.

[15:30:06] Device: iPhone 12 Pro Max, Network: AT&T 5G, User: Luca Wilson, Type: Normal - Luca Wilson used the app to split expenses with a neighbor for a subscription box they both decided to try. They agreed on a 50-50 split for the cost of the monthly subscription.

[15:42:43] Device: iPhone 12 Pro Max, Network: AT&T 5G, User: Luca Wilson, Type: Normal - Luca Wilson used the app to split expenses with friends for a group Amazon Prime membership. The cost was divided among five people who would use the service together.

[16:03:34] Device: iPhone 12 Pro Max, Network: AT&T 5G, User: Luca Wilson, Type: Normal - Luca Wilson used the app to split expenses with a colleague for a work-related training course. They agreed on a 70-30 split in favor of the person who initiated the idea of taking the course.

[16:24:59] Device: iPhone 12 Pro Max, Network: AT&T 5G, User: Luca Wilson, Type: Normal - Luca Wilson used the app to split expenses with a distant relative for an online course they enrolled in together. They decided on a 50-50 split for the cost of the course materials and access.
[16:30:28] Device: iPhone 12 Pro Max, Network: AT&T 5G, User: Luca Wilson, Type: Normal - Luca Wilson used the app to split expenses with a close friend for a shared Spotify Premium subscription. They agreed on a 75-25 split in favor of the person who had been using Spotify for longer.

[16:40:32] Device: iPhone 12 Pro Max, Network: AT&T 5G, User: Luca Wilson, Type: Normal - Luca Wilson used the app to split expenses with a local gym buddy for a fitness class they both wanted to attend. They agreed on an even 50-50 split for the cost of the drop-in session.

[16:49:23] Device: iPhone 12 Pro Max, Network: AT&T 5G, User: Luca Wilson, Type: Normal - Luca Wilson used the app to split expenses with a fellow traveler for a shared Airbnb stay during their upcoming vacation. They agreed on a 60-40 split in favor of the person who found the accommodation.

[17:03:29] Device: iPhone 12 Pro Max, Network: AT&T 5G, User: Luca Wilson, Type: Normal - Luca Wilson used the app to split expenses with a coworker for a joint office lunch. They agreed on an even 50-50 split for the cost of their meals.

[17:12:35] Device: iPhone 12 Pro Max, Network: AT&T 5G, User: Luca Wilson, Type: Normal - Luca Wilson used the app to split expenses with a fellow volunteer for the cost of event supplies they both purchased for an upcoming charity event. They agreed on a 70-30 split in favor of the person who organized the event.

[17:22:57] Device: iPhone 12 Pro Max, Network: AT&T 5G, User: Luca Wilson, Type: Normal - Luca Wilson used the app to split expenses with a family member for a joint streaming service subscription. They agreed on an even 50-50 split for the cost of the monthly plan.

[17:36:21] Device: iPhone 12 Pro Max, Network: AT&T 5G, User: Luca Wilson, Type: Normal - Luca Wilson used the app to split expenses with a neighbor for the cost of a shared gardening tool they both needed. They agreed on an even 50-50 split for the purchase.

[17:42:38] Device: iPhone 12 Pro Max, Network: AT&T 5G, User: Luca Wilson, Type: Normal - Luca Wilson used the app to split expenses with a friend for a joint online course they both wanted to take. They agreed on an even 50-50 split for the cost of the materials and access.

[17:49:26] Device: iPhone 12 Pro Max, Network: AT&T 5G, User: Luca Wilson, Type: Normal - Luca Wilson used the app to split expenses with a fellow hobbyist for a shared workshop class they both wanted to attend. They agreed on an even 50-50 split for the cost of the workshop fees.
[17:56:43] Device: iPhone 12 Pro Max, Network: AT&T 5G, User: Luca Wilson, Type: Normal - Luca Wilson used the app to split expenses with a colleague for a shared office supply order. They agreed on an even 50-50 split for the cost of the items purchased.

[18:02:59] Device: iPhone 12 Pro Max, Network: AT&T 5G, User: Luca Wilson, Type: Normal - Luca Wilson used the app to split expenses with a cousin for a joint gym membership they both wanted to use. They agreed on an even 50-50 split for the monthly cost of the membership.

